Ectopic_Pregnancy	Ectopic Pregnancy (PEDS)	Abnormal_Pregnancy
Systemic_Congenital_Disorder	Congenital Systemic Disorder (PEDS)	Congenital_Abnormality
Amniotic_Band_Syndrome	Deformity due to Amniotic Band (NRNT)	Congenital_Abnormality
Congenital_Hydronephrosis	Congenital Hydronephrosis (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Hydroureter	Congenital Hydroureter (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Congenital_Nephrotic_Syndrome	Congenital Nephrotic Syndrome (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Pelvic_Kidney	Congenital Pelvic Kidney (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Posterior_Urethral_Valves	Congenital Posterior Urethral Valves (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Ureterovesical_Obstruction	Congenital Ureterovesical Obstruction (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Duplex_Kidney	Double Kidney (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Duplicated_Ureter	Double Ureter (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Horseshoe_Kidney	Horseshoe Kidney (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Patent_Urachus	Patent Urachus (NRNT)	Congenital_Abnormality_of_the_Urinary_System
Renal_Agenesis	Renal Agenesis (NRNT)	Congenital_Abnormality_of_the_Urinary_System
F5_Leiden_Allele	Factor V Leiden Mutation (NRNT)	Congenital_Bleeding_Disorder
Hemophilia	Hemophilia (NRNT)	Congenital_Bleeding_Disorder
Hereditary_Coagulation_Factor_Deficiency	Hereditary Coagulation Factor Deficiency (NRNT)	Congenital_Bleeding_Disorder
Protein_C_Deficiency	Protein C Deficiency Disease (NRNT)	Congenital_Bleeding_Disorder
Protein_S_Deficiency	Protein S Deficiency Disease (NRNT)	Congenital_Bleeding_Disorder
Pulmonary_Arteriovenous_Fistula	Arteriovenous Fistula of Pulmonary Vessels (NRNT)	Congenital_Cardiovascular_Abnormality
Hepatic_Arteriovenous_Malformation	Arteriovenous Malformation of Liver (NRNT)	Congenital_Cardiovascular_Abnormality
Cerebral_Arteriovenous_Malformation	Cerebral Arteriovenous Malformation (NRNT)	Congenital_Cardiovascular_Abnormality
Atrioventricular_Septal_Defect	Common Atrioventricular Canal (NRNT)	Congenital_Cardiovascular_Abnormality
Common_Ventricle_Disorder	Common Ventricle (NRNT)	Congenital_Cardiovascular_Abnormality
Total_Anomalous_Pulmonary_Venous_Return	Congenital Anomaly of Pulmonary Veins (NRNT)	Congenital_Cardiovascular_Abnormality
Congenital_Heart_Disease	Congenital Heart Disease (NRNT)	Congenital_Cardiovascular_Abnormality
Great_Vessels_Abnormality	Great Vessel Abnormality (NRNT)	Congenital_Cardiovascular_Abnormality
Perinatal_Intracranial_Hemorrhage	Perinatal Intracranial Hemorrhage (NRNT)	Congenital_Cardiovascular_Abnormality
Persistent_Fetal_Circulation_Syndrome	Persistent Pulmonary Hypertension of the Newborn (NRNT)	Congenital_Cardiovascular_Abnormality
Shone_Syndrome	Shone's Syndrome (Greater than 3 Sites) (NRNT)	Congenital_Cardiovascular_Abnormality
Congenital_Bilateral_Cataracts	Congenital Bilateral Cataracts (NRNT)	Congenital_Cataract
Congenital_Unilateral_Cataract	Congenital Unilateral Cataract (NRNT)	Congenital_Cataract
Anophthalmos	Anophthalmos (NRNT)	Congenital_Eye_Disorder
Cogan-Reese_Syndrome	Cogan-Reese Syndrome (NRNT)	Congenital_Eye_Disorder
Congenital_Cataract	Congenital Cataract (NRNT)	Congenital_Eye_Disorder
Cryptophthalmos_Syndrome	Cryptophthalmos Syndrome (NRNT)	Congenital_Eye_Disorder
Coloboma_of_the_Eye	Fundus Coloboma (NRNT)	Congenital_Eye_Disorder
Microphthalmos	Microphthalmos (NRNT)	Congenital_Eye_Disorder
Annular_Pancreas	Annular Pancreas (NRNT)	Congenital_Gastrointestinal_Disorder
Large_Intestinal_Atresia	Atresia of Large Intestine (NRNT)	Congenital_Gastrointestinal_Disorder
Small_Intestinal_Atresia	Atresia of Small Intestine (PEDS)	Congenital_Gastrointestinal_Disorder
Cleft_Lip	Cleft Lip (PEDS)	Congenital_Gastrointestinal_Disorder
Cleft_Palate	Cleft Palate (PEDS)	Congenital_Gastrointestinal_Disorder
Atresia_of_Colon	Congenital Atresia of Colon (NRNT)	Congenital_Gastrointestinal_Disorder
Biliary_Atresia	Congenital Biliary Atresia (NRNT)	Congenital_Gastrointestinal_Disorder
Esophageal_Duplication	Congenital Duplication of Esophagus (NRNT)	Congenital_Gastrointestinal_Disorder
Intestinal_Duplication	Congenital Duplication of Intestine (NRNT)	Congenital_Gastrointestinal_Disorder
Congenital_Ileal_Stenosis	Congenital Ileal Stenosis (NRNT)	Congenital_Gastrointestinal_Disorder
Congenital_Jejunal_Stenosis	Congenital Jejunal Stenosis (NRNT)	Congenital_Gastrointestinal_Disorder
Meconium_Ileus	Cystic Fibrosis  with Meconium Ileus (NRNT)	Congenital_Gastrointestinal_Disorder
Esophageal_Atresia	Esophageal Atresia (PEDS+NRNT)	Congenital_Gastrointestinal_Disorder
Gastroschisis	Gastroschisis (NRNT)	Congenital_Gastrointestinal_Disorder
Aganglionic_Megacolon	Hirschsprung's Disease (NRNT)	Congenital_Gastrointestinal_Disorder
Imperforate_Anus	Imperforate Anus (NRNT)	Congenital_Gastrointestinal_Disorder
Intestinal_Malrotation	Intestinal Malrotation (NRNT)	Congenital_Gastrointestinal_Disorder
Low_Anorectal_Malformation	Low Anorectal Malformation (NRNT)	Congenital_Gastrointestinal_Disorder
Meckel_Diverticulum	Meckel's Diverticulum (NRNT)	Congenital_Gastrointestinal_Disorder
Microcolon	Microcolon (NRNT)	Congenital_Gastrointestinal_Disorder
Necrotizing_Enterocolitis	Necrotizing Enterocolitis (PEDS+NRNT)	Congenital_Gastrointestinal_Disorder
Short_Bowel_Syndrome	Short Bowel Syndrome (NRNT)	Congenital_Gastrointestinal_Disorder
Congenital_Abnormality_of_the_Urinary_System	Congenital Abnormality of the Urinary System (NRNT)	Congenital_Genitourinary_Abnormality
Penile_Agenesis	Congenital Absence of Penis (NRNT)	Congenital_Genitourinary_Abnormality
Penoscrotal_Transposition	Congenital Penoscrotal Transposition (NRNT)	Congenital_Genitourinary_Abnormality
Epispadias	Epispadias (NRNT)	Congenital_Genitourinary_Abnormality
Hypospadias	Hypospadias (NRNT)	Congenital_Genitourinary_Abnormality
Labial_Fusion	Labial Fusion (PEDS)	Congenital_Genitourinary_Abnormality
Undescended_Testis	Undescended Testis (PEDS+NRNT)	Congenital_Genitourinary_Abnormality
Uterine_Agenesis	Uterus Absent (NRNT)	Congenital_Genitourinary_Abnormality
Congenital_Septal_Defect	Cardiac Septal Defects (NRNT)	Congenital_Heart_Disease
Persistent_Truncus_Arteriosus	Common Truncus Arteriosus (NRNT)	Congenital_Heart_Disease
Complete_Atrioventricular_Canal_Defect_Balanced	Complete Atrioventricular Canal Defect (Balanced) (NRNT)	Congenital_Heart_Disease
Complete_Atrioventricular_Canal_Defect_Unbalanced	Complete Atrioventricular Canal Defect (Unbalanced) (NRNT)	Congenital_Heart_Disease
Aortic_Valve_Atresia	Congenital Atresia of Aortic Valve (NRNT)	Congenital_Heart_Disease
Mitral_Valve_Atresia	Congenital Atresia of Mitral Valve (NRNT)	Congenital_Heart_Disease
Tricuspid_Atresia	Congenital Atresia of Tricuspid Valve (NRNT)	Congenital_Heart_Disease
Congenital_Complete_Atrioventricular_Block	Congenital Complete Atrioventricular Block (NRNT)	Congenital_Heart_Disease
Aortic_Insufficiency	Congenital Insufficiency of Aortic Valve (NRNT)	Congenital_Heart_Disease
Pulmonary_Valve_Regurgitation	Congenital Insufficiency of Pulmonary Valve (NRNT)	Congenital_Heart_Disease
Congenital_Ventricular_Tachycardia	Congenital Ventricular Tachycardia (NRNT)	Congenital_Heart_Disease
Chronic_Pulmonary_Heart_Disease	Cor Pulmonale (NRNT)	Congenital_Heart_Disease
Cor_Triatriatum	Cor Triatriatum (NRNT)	Congenital_Heart_Disease
Coronary_Anomaly	Coronary Anomalies (Includes Aneurysm, Anomalous) (NRNT)	Congenital_Heart_Disease
Dextrocardia	Dextrocardia (PEDS+NRNT)	Congenital_Heart_Disease
Discordant_Ventriculoarterial_Connection	Discordant Ventriculoarterial Connection (NRNT)	Congenital_Heart_Disease
Double_Outlet_Right_Ventricle	Double Outlet Right Ventricle (NRNT)	Congenital_Heart_Disease
Ebstein_Anomaly	Ebstein's Anomaly of Tricuspid Valve (NRNT)	Congenital_Heart_Disease
Left_Ventricular_Outflow_Tract_Obstruction	Left Ventricular Outflow Tract Obstruction (NRNT)	Congenital_Heart_Disease
Long_QT_Syndrome	Long QT Syndrome (NRNT)	Congenital_Heart_Disease
Patent_Ductus_Arteriosus	Patent Ductus Arteriosus (NRNT)	Congenital_Heart_Disease
Pulmonary_Valve_Atresia	Pulmonary Valve Atresia (NRNT)	Congenital_Heart_Disease
Single_Ventricle_Defect	Single Ventricle (NRNT)	Congenital_Heart_Disease
Tetralogy_of_Fallot	Tetralogy of Fallot (NRNT)	Congenital_Heart_Disease
Alveolar_Capillary_Dysplasia	Alveolar Capillary Dysplasia (NRNT)	Congenital_Lung_Malformation
Pulmonary_Agenesis	Congenital Absence of Lung (NRNT)	Congenital_Lung_Malformation
Congenital_Cystic_Adenomatoid_Malformation_of_the_Lung	Congenital Cystic Adenomatoid Malformation of Lung (NRNT)	Congenital_Lung_Malformation
Congenital_Lobar_Emphysema	Congenital Lobar Emphysema (NRNT)	Congenital_Lung_Malformation
Congenital_Pulmonary_Lymphangiectasia	Congenital Pulmonary Lymphangiectasis (NRNT)	Congenital_Lung_Malformation
Bronchopulmonary_Sequestration	Congenital Sequestration of Lung (NRNT)	Congenital_Lung_Malformation
Pulmonary_Hypoplasia	Pulmonary Trunk Hypoplasia (NRNT)	Congenital_Lung_Malformation
Surfactant_Protein_Deficiency	Surfactant Apoprotein Abnormality (NRNT)	Congenital_Lung_Malformation
Congenital_Malformation_Syndrome_due_to_Known_Exogenous_Cause	Congenital Malformation Syndrome due to Known Exogenous Cause (NRNT)	Congenital_Malformation_Syndrome
Escobar_Syndrome	Escobar Syndrome (NRNT)	Congenital_Malformation_Syndrome
Acrocephalosyndactyly	Acrocephalosyndactyly (PEDS)	Congenital_Musculoskeletal_Defect
Amelia	Amelia (NRNT)	Congenital_Musculoskeletal_Defect
Arthrogryposis	Arthrogryposis (NRNT)	Congenital_Musculoskeletal_Defect
Clubbing_of_Fingers	Clubbing of Fingers (PEDS+NRNT)	Congenital_Musculoskeletal_Defect
Congenital_Diaphragmatic_Hernia	Congenital Diaphragmatic Hernia (NRNT)	Congenital_Musculoskeletal_Defect
Thumb_Hypoplasia	Congenital Malformation of Thumb (NRNT)	Congenital_Musculoskeletal_Defect
Omphalocele	Congenital Omphalocele (NRNT)	Congenital_Musculoskeletal_Defect
Osteochondrodysplasia	Congenital Skeletal Dysplasia (NRNT)	Congenital_Musculoskeletal_Defect
Craniosynostosis	Craniosynostosis Syndrome (NRNT)	Congenital_Musculoskeletal_Defect
Epidermolysis_Bullosa	Epidermolysis Bullosa (NRNT)	Congenital_Musculoskeletal_Defect
Hemimelia	Hemimelia (NRNT)	Congenital_Musculoskeletal_Defect
Micrognathism	Micrognathism (PEDS+NRNT)	Congenital_Musculoskeletal_Defect
Phocomelia	Phocomelia (NRNT)	Congenital_Musculoskeletal_Defect
Polydactyly	Polydactyly (PEDS+NRNT)	Congenital_Musculoskeletal_Defect
Caudal_Regression_Syndrome	Sacral Agenesis (NRNT)	Congenital_Musculoskeletal_Defect
Saethre_Chotzen_Syndrome	Saethre-Chotzen Syndrome (NRNT)	Congenital_Musculoskeletal_Defect
Syndactyly	Syndactyly (PEDS+NRNT)	Congenital_Musculoskeletal_Defect
Thanatophoric_Dysplasia	Thanatophoric Dysplasia (NRNT)	Congenital_Musculoskeletal_Defect
Corpus_Callosum_Agenesis	Agenesis of Corpus Callosum (NRNT)	Congenital_Nervous_System_Disorder
Anencephaly	Anencephalus (NRNT)	Congenital_Nervous_System_Disorder
Aprosencephaly	Aprosencephaly (NRNT)	Congenital_Nervous_System_Disorder
Arnold-Chiari_Malformation	Chiari Malformation (NRNT)	Congenital_Nervous_System_Disorder
Congenital_Cerebellar_Hypoplasia	Congenital Cerebellar Hypoplasia (NRNT)	Congenital_Nervous_System_Disorder
Congenital_Facial_Nerve_Palsy	Congenital Facial Nerve Palsy (NRNT)	Congenital_Nervous_System_Disorder
Congenital_Hydrocephalus	Congenital Hydrocephalus (NRNT)	Congenital_Nervous_System_Disorder
Diastematomyelia	Diastematomyelia (NRNT)	Congenital_Nervous_System_Disorder
Holoprosencephaly	Holoprosencephaly Sequence (NRNT)	Congenital_Nervous_System_Disorder
Hydranencephaly	Hydranencephaly (NRNT)	Congenital_Nervous_System_Disorder
Optic_Nerve_Hypoplasia	Hypoplasia of the Optic Nerve (NRNT)	Congenital_Nervous_System_Disorder
Classical_Lissencephaly	Lissencephaly (NRNT)	Congenital_Nervous_System_Disorder
Microgyria	Microgyria (NRNT)	Congenital_Nervous_System_Disorder
Neuronal_Migration_Disorder	Migration Defects (NRNT)	Congenital_Nervous_System_Disorder
Neural_Tube_Defect	Neural Tube Defect (PEDS+NRNT)	Congenital_Nervous_System_Disorder
Phakomatosis	Neurocutaneous Syndrome (NRNT)	Congenital_Nervous_System_Disorder
Retrolental_Fibroplasia	Retinopathy of Prematurity (PEDS+NRNT)	Congenital_Nervous_System_Disorder
Schizencephaly	Schizencephaly (NRNT)	Congenital_Nervous_System_Disorder
Spinal_Muscular_Atrophy	Spinal Muscular Atrophy (NRNT)	Congenital_Nervous_System_Disorder
Vein_of_Galen_Malformation	Vein of Galen Malformation (NRNT)	Congenital_Nervous_System_Disorder
Spinal_Deformity	Deformity of Spine (NRNT)	Congenital_or_Acquired_Anatomic_Abnormality
Diaphragm_Eventration	Diaphragmatic Eventration (NRNT)	Congenital_or_Acquired_Anatomic_Abnormality
Hyperextension_of_Knee	Hyperextension Deformity of Knee (NRNT)	Congenital_or_Acquired_Anatomic_Abnormality
Macrocephaly	Macrocephaly (NRNT)	Congenital_or_Acquired_Anatomic_Abnormality
Ambiguous_Genitalia	Ambiguous Genitalia (NRNT)	Congenital_Reproductive_System_Abnormality
Sexual_Differentiation_Disorder	Disorder of Sexual Differentiation (NRNT)	Congenital_Reproductive_System_Abnormality
Epispadias	Epispadias (NRNT)	Congenital_Reproductive_System_Abnormality
Hypospadias	Hypospadias (NRNT)	Congenital_Reproductive_System_Abnormality
Labial_Fusion	Labial Fusion (PEDS)	Congenital_Reproductive_System_Abnormality
Uterine_Agenesis	Uterus Absent (NRNT)	Congenital_Reproductive_System_Abnormality
Laryngeal_Agenesis	Agenesis of Larynx (NRNT)	Congenital_Respiratory_System_Disorder
Apnea_of_Prematurity	Apnea of Prematurity (NRNT)	Congenital_Respiratory_System_Disorder
Bronchopulmonary_Dysplasia	Bronchopulmonary Dysplasia (PEDS+NRNT)	Congenital_Respiratory_System_Disorder
Congenital_Lung_Malformation	Congenital Abnormality of Lung (NRNT)	Congenital_Respiratory_System_Disorder
Tracheal_Agenesis	Congenital Absence of Trachea (NRNT)	Congenital_Respiratory_System_Disorder
Larynx_Atresia	Congenital Atresia of Larynx (NRNT)	Congenital_Respiratory_System_Disorder
Tracheal_Atresia	Congenital Atresia of Trachea (NRNT)	Congenital_Respiratory_System_Disorder
Congenital_Chylothorax	Congenital Chylothorax (NRNT)	Congenital_Respiratory_System_Disorder
Cystic_Fibrosis	Cystic Fibrosis (NRNT)	Congenital_Respiratory_System_Disorder
Laryngomalacia	Laryngomalacia (NRNT)	Congenital_Respiratory_System_Disorder
Meconium_Aspiration_Syndrome	Meconium Aspiration Syndrome (PEDS+NRNT)	Congenital_Respiratory_System_Disorder
Neonatal_Respiratory_Distress_Syndrome	Neonatal Respiratory Distress Syndrome (PEDS+NRNT)	Congenital_Respiratory_System_Disorder
Laryngeal_Cleft	Tracheal Cleft (NRNT)	Congenital_Respiratory_System_Disorder
Congenital_Aortic_Septal_Defect	Aortic Septal Defect (NRNT)	Congenital_Septal_Defect
Atrial_Septal_Defect	Atrial Septal Defect (NRNT)	Congenital_Septal_Defect
Ventricular_Septal_Defect	Ventricular Septal Defect (NRNT)	Congenital_Septal_Defect
Albinism	Albinism (NRNT)	Congenital_Skin_Disorder
Aplasia_Cutis_Congenita	Aplasia Cutis Congenita (NRNT)	Congenital_Skin_Disorder
Hydroa_Vacciniforme	Congenital Ichthyosis of Skin (NRNT)	Congenital_Skin_Disorder
Ear_Dimple	Ear Dimple (PEDS+NRNT)	Congenital_Skin_Disorder
Fused_Eyelid	Fused Eyelid (PEDS+NRNT)	Congenital_Skin_Disorder
Harlequin_Ichthyosis	Harlequin Ichthyosis (NRNT)	Congenital_Skin_Disorder
Incontinentia_Pigmenti	Incontinentia Pigmenti Syndrome (NRNT)	Congenital_Skin_Disorder
Ear_Tag	Periauricular Tag (NRNT)	Congenital_Skin_Disorder
Port_Wine_Type_Hemangioma	Port-Wine Stain of Skin (NRNT)	Congenital_Skin_Disorder
Pterygium_Colli	Pterygium Colli (PEDS+NRNT)	Congenital_Skin_Disorder
Sacral_Dimple	Sacral Dimple (PEDS+NRNT)	Congenital_Skin_Disorder
Single_Palmar_Crease	Single Palmar Crease (PEDS+NRNT)	Congenital_Skin_Disorder
Haemophilus_Influenzae_B_Vaccine	Haemophilus Influenzae B Vaccine (PEDS)	Conjugate_Vaccine
Meningcoccal_Conjugate_Vaccine	Meningococcal Conjugate Vaccine MCV-4 (PEDS)	Conjugate_Vaccine
Pneumococcal_Conjugate_Vaccine	Pneumococcal Conjugate Vaccine (PEDS)	Conjugate_Vaccine
Craniofacial_Dysostosis	Crouzon Syndrome (NRNT)	Connective_and_Soft_Tissue_Disorder
Spinal_Deformity	Deformity of Spine (NRNT)	Connective_and_Soft_Tissue_Disorder
Hip_Dislocation	Dislocation of Hip Joint (NRNT)	Connective_and_Soft_Tissue_Disorder
Connective_Tissue_Disorder	Disorder of Musculoskeletal System (NRNT)	Connective_and_Soft_Tissue_Disorder
Muscular_Dystrophy	Muscular Dystrophy (NRNT)	Connective_and_Soft_Tissue_Disorder
Myopathy	Myopathy (NRNT)	Connective_and_Soft_Tissue_Disorder
Myotonic_Disorder	Myotonic Disorder (NRNT)	Connective_and_Soft_Tissue_Disorder
Phrenic_Nerve_Palsy	Paralysis of Diaphragm (NRNT)	Connective_and_Soft_Tissue_Disorder
Polyostotic_Fibrous_Dysplasia_of_Bone	Polyostotic Fibrous Dysplasia of Bone (NRNT)	Connective_and_Soft_Tissue_Disorder
Decreased_Bone_Density	Decreased Bone Density (NRNT)	Connective_and_Soft_Tissue_Finding
Hyperextension_of_Knee	Hyperextension Deformity of Knee (NRNT)	Connective_and_Soft_Tissue_Finding
Increased_Bone_Density	Increased Bone Density (NRNT)	Connective_and_Soft_Tissue_Finding
Hereditary_Connective_Tissue_Disorder	Congenital Connective Tissue Disorder (NRNT)	Connective_Tissue_Disorder
Hormonal_Contraception	Hormonal Method (PEDS)	Contraception
Sexual_Abstinence	Sexual Abstinence (PEDS)	Contraception
Surgical_Contraception	Surgical Contraception Method (PEDS)	Contraception
Withdrawal_Contraception	Withdrawal Contraception (PEDS)	Contraception
Contraceptive_Cap	Cervical Contraceptive Cap (PEDS)	Contraceptive_Device
Condom	Condom (PEDS)	Contraceptive_Device
Contraceptive_Implant	Contraceptive Implant (PEDS)	Contraceptive_Device
Contraceptive_Patch	Contraceptive Patch (PEDS)	Contraceptive_Device
Contraceptive_Sponge	Contraceptive Sponge (PEDS)	Contraceptive_Device
Intrauterine_Device	Intra Uterine Device (PEDS)	Contraceptive_Device
Oral_Contraceptive	Oral Contraceptive (PEDS)	Contraceptive_Device
Spermicide	Spermicide (PEDS)	Contraceptive_Device
Vaginal_Diaphragm	Vaginal Diaphragm (PEDS)	Contraceptive_Device
Vaginal_Ring_Dosage_Form	Vaginal Ring (PEDS)	Contraceptive_Device
Subdermal_Birth_Control_Implant	Norplant Subdermal Birth Control Implant (PEDS)	Contraceptive_Implant
Recurrent_Laryngeal_Nerve_Palsy	Vagus Nerve Laryngeal Paralysis (NRNT)	Cranial_Nerve_Disorder
Cyanotic_Attacks_in_Children	Perinatal Cyanotic Attacks (NRNT)	Cyanosis
Urachal_Cyst	Allantoic Cyst (NRNT)	Cyst
Arachnoid_Cyst	Arachnoid Cyst (NRNT)	Cyst
Choledochal_Cyst	Congenital Choledochal Cyst (NRNT)	Cyst
Central_Nervous_System_Cyst	Central Nervous System Cyst (NRNT)	Cyst
Ovarian_Cyst	Ovarian Cyst (NRNT)	Cyst
Cystic_Lymphangioma	Cystic Hygroma (PEDS+NRNT)	Cyst
Dermoid_Cyst	Dermoid Cyst (PEDS)	Cyst
Porencephalic_Cyst	Porencephalic Cyst (NRNT)	Cyst
Renal_Cyst	Solitary Multilocular Renal Cyst (NRNT)	Cyst
Thyroglossal_Duct_Cyst	Thyroglossal Duct Cyst (PEDS+NRNT)	Cyst
Medullary_Sponge_Kidney	Medullary Sponge Kidney (NRNT)	Cystic_Kidney_Disease
Polycystic_Kidney_Disease	Microcystic Renal Disease (NRNT)	Cystic_Kidney_Disease
Leigh_Disease	Leigh's Disease (NRNT)	Cytochrome-C_Oxidase_Deficiency
Numeric_Value	Numeric Value (PEDS)	Data_Value
Date_of_Birth	Birth Date (PEDS)	Date
Collection_Date	Collection Date (PEDS)	Date
Expected_Date_of_Confinement	Expected Date of Confinement (PEDS)	Date
Last_Screening	Last Screening (PEDS)	Date
Osteopenia	Osteopenia of Prematurity (NRNT)	Decreased_Bone_Density
Neurodegenerative_Disorder	Degenerative Disease of the Central Nervous System (NRNT)	Degenerative_Disorder
Hypernatremic_Dehydration	Hypernatremic Dehydration (NRNT)	Dehydration
Placental_Schultze_Mechanism	Schultze Mechanism (PEDS)	Delivery_of_Placenta
Address	Address (PEDS)	Demographics
Birth_Facility	Birth Facility (PEDS)	Demographics
City	City (PEDS)	Demographics
Education_Level	Education Level (PEDS)	Demographics
Ethnic_Group	Ethnic Group (PEDS)	Demographics
Postal_Code	Postal Code (PEDS)	Demographics
Race	Race (PEDS)	Demographics
Street_Number	Street Number (PEDS)	Demographics
Submitting_Facility	Submitting Facility (PEDS)	Demographics
US_State	US State (PEDS)	Demographics
Postpartum_Depression	Postpartum Depression (PEDS)	Depression
Behavioral_Development	Behavioral Development (PEDS+NRNT)	Development
Cognitive_Development	Cognitive Development (PEDS)	Development
Motor_Development	Motor Development (PEDS)	Development
Achondroplasia	Achondroplasia (NRNT)	Developmental_Disorder
Beckwith-Wiedemann_Syndrome	Beckwith-Wiedemann Syndrome (NRNT)	Developmental_Disorder
Cornelia_De_Lange_Syndrome	De Lange Syndrome (NRNT)	Developmental_Disorder
Dwarfism	Dwarfism (NRNT)	Developmental_Disorder
Failure_to_Thrive	Failure To Thrive In Infant (NRNT)	Developmental_Disorder
Neurodevelopmental_Disorder	Neurodevelopmental Disorder (PEDS+NRNT)	Developmental_Disorder
Rubinstein_Taybi_Syndrome	Rubinstein-Taybi Syndrome (NRNT)	Developmental_Disorder
Silver-Russell_Syndrome	Russell-Silver Syndrome (NRNT)	Developmental_Disorder
Sotos_Syndrome	Sotos' Syndrome (NRNT)	Developmental_Disorder
Thanatophoric_Dysplasia	Thanatophoric Dysplasia (NRNT)	Developmental_Disorder
Contraceptive_Device	Contraceptive Device (PEDS)	Device
Measurement_Device	Measurement Device (PEDS)	Device
Dextrocardia_Situs_Solitus	Dextrocardia, Normal Situs (NRNT)	Dextrocardia
Dextro-Transposition_of_the_Great_Vessels_with_Intact_Ventricular_Septum	Dextro-Transposition of the Great Vessels  with Intact Ventricular Septum (NRNT)	Dextro-Transposition_of_the_Great_Arteries
Dextro-transposition_of_the_Great_Vessels_with_Ventricular_Septal_Defect	Dextro-Transposition of the Great Vessels  with Ventricular Septal Defect (NRNT)	Dextro-Transposition_of_the_Great_Arteries
Ascultation	Auscultation (PEDS)	Diagnostic_Procedure
Heart_Monitoring	Cardiac Monitoring (NRNT)	Diagnostic_Procedure
Test	Laboratory Procedure (PEDS+NRNT)	Diagnostic_Procedure
Observation	Observation (PEDS)	Diagnostic_Procedure
Oxygen_Saturation	Oxygen Saturation Measurement (NRNT)	Diagnostic_Procedure
Pregnancy_Test	Pregnancy Test (PEDS)	Diagnostic_Procedure
Ultrasound_Imaging	Ultrasound Imaging (PEDS)	Diagnostic_Procedure
Vital_Signs_Test_Name	Vital Sign Measurement (PEDS)	Diagnostic_Procedure
Congenital_Diaphragmatic_Hernia	Congenital Diaphragmatic Hernia (NRNT)	Diaphragmatic_Hernia
Hiatal_Hernia	Hiatal Hernia (NRNT)	Diaphragmatic_Hernia
Cardiovascular_Disorder	Cardiovascular Disorder (PEDS+NRNT)	Diseases_and_Disorders
Congenital_or_Acquired_Anatomic_Abnormality	Deformity (NRNT)	Diseases_and_Disorders
Degenerative_Disorder	Degenerative Disorder (NRNT)	Diseases_and_Disorders
Endocrine_Disorder	Endocrine System Disorder (PEDS+NRNT)	Diseases_and_Disorders
Gastrointestinal_Disorder	Gastrointestinal Disorder (PEDS+NRNT)	Diseases_and_Disorders
Genetic_Disorder	Genetic Disorder (PEDS+NRNT)	Diseases_and_Disorders
Hematologic_Disorder	Hematological Disorder (PEDS)	Diseases_and_Disorders
Hernia	Hernia (PEDS)	Diseases_and_Disorders
Immune_System_Disorder	Immunolymphatic System Disorder (PEDS+NRNT)	Diseases_and_Disorders
Infectious_Disorder	Infectious Disease (PEDS+NRNT)	Diseases_and_Disorders
Inflammatory_Disorder	Inflammatory Disorder (NRNT)	Diseases_and_Disorders
Skin_Disorder	Integumentary System Disorder (PEDS+NRNT)	Diseases_and_Disorders
Connective_and_Soft_Tissue_Disorder	Musculoskeletal System Disorder (PEDS)	Diseases_and_Disorders
Neoplasm	Neoplasm (PEDS+NRNT)	Diseases_and_Disorders
Nervous_System_Disorder	Neurologic Disorder (PEDS+NRNT)	Diseases_and_Disorders
Non-Neoplastic_Pediatric_Disorder	Pediatric Disease or Disorder (PEDS)	Diseases_and_Disorders
Psychiatric_Disorder	Psychiatric Disorder (PEDS)	Diseases_and_Disorders
Reproductive_System_Disorder	Reproductive System Disorder (PEDS+NRNT)	Diseases_and_Disorders
Respiratory_Disorder	Respiratory System Disorder (PEDS+NRNT)	Diseases_and_Disorders
Neurosensory_Disorder	Sensory Disorder (PEDS)	Diseases_and_Disorders
Spontaneous_Perforation	Spontaneous Perforation (NRNT)	Diseases_and_Disorders
Systemic_Disease	Systemic Disorder (PEDS)	Diseases_and_Disorders
Injury	Traumatic Injury (NRNT)	Diseases_and_Disorders
Urinary_Tract_Disorder	Urinary System Disorder (PEDS+NRNT)	Diseases_and_Disorders
Nasal_Route_of_Drug_Administration	Nasal Route of Administration (PEDS)	Drug_Route_of_Administration
Oral_Route_of_Drug_administration	Oral Route of Administration (PEDS)	Drug_Route_of_Administration
Parenteral_Route_of_Drug_Administration	Parenteral Route of Administration (PEDS)	Drug_Route_of_Administration
Left_Ear	Left Ear (PEDS)	Ear
Right_Ear	Right Ear (PEDS)	Ear
Pregnancy_Breast_Soreness	Breast Soreness (PEDS)	Early_Pregnancy_Symptom
Fatigue	Fatigue (PEDS)	Early_Pregnancy_Symptom
Food_Craving	Food Craving (PEDS)	Early_Pregnancy_Symptom
Urinary_Frequency	Increased Frequency of Urination (PEDS)	Early_Pregnancy_Symptom
Missed_Menstrual_Period	Missed Period (PEDS)	Early_Pregnancy_Symptom
Montgomery_s_Tubercle	Montgomery's Tubercles (PEDS)	Early_Pregnancy_Symptom
