Source	NCIt Subset Code	FDA Subset Name	NCIt Concept Code	FDA Source Code	FDA Source PT	FDA Source Synonym(s)	FDA Source Definition	NCIt Definition	Parent Concept's NCIt Concept Code	Parent Concept's FDA Source Code	Parent Concept's FDA Source PT
FDA	C54450	Patient Problem Codes FDA CDRH	C48660	3189	NOT APPLICABLE|NOT APPLICABLE			Determination of a value is not relevant in the current context.	C48655	3192	MISSING VALUE REASON
FDA	C54450	Patient Problem Codes FDA CDRH	C34857	2415	NUMBNESS			The loss of the sensation of feeling in an area of the body.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3284	2422	OBSTRUCTION			Blockage of the normal flow of the contents of an anatomical passageway.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50678	1984	OCCLUSION		The act of closure or the state of being closed; an obstruction; the relationship between all of the components of the masticatory system in normal function, dysfunction, and parafunction; momentary complete closure of some area in the vocal tract, causing stoppage of the breath and accumulation of pressure.	Obstruction or a closure of hollow organ, passageway or vessel; also the transient approximation of the edges of a natural opening; imperforation.	C3284	2422	OBSTRUCTION
FDA	C54450	Patient Problem Codes FDA CDRH	C34602	1845	EYE INJURY	INJURY, EYE			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50849	1986	OPTICAL NERVE DAMAGE	DAMAGE TO OPTICAL NERVE(S)|NERVE DAMAGE, OPTICAL			C50669	1979	NERVE DAMAGE
FDA	C54450	Patient Problem Codes FDA CDRH	C50679	1987	ORGAN(S), PERFORATION OF	PERFORATION OF ORGAN(S)			C4080	2001	PERFORATION
FDA	C54450	Patient Problem Codes FDA CDRH	C50680	1428	OSSIFICATION		The formation of bone or of a bony substance; the conversion of fibrous tissue or of cartilage into bone or a bony substance.	The formation of bone or of a bony substance; the conversion of fibrous tissue or of cartilage into bone or a bony substance.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50681	2377	OSTEOLYSIS		Dissolution of bone; applied especially to the removal or loss of the calcium of bone.	Dissolution of bone; applied especially to the removal or loss of the calcium of bone.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50910	2651	OSTEOPENIA	BONE LOSS		Decreased calcification or density of bone tissue.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50873	1988	OVERDOSE				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50850	1990	OVERSEDATED				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50683	1991	OVERSTIMULATION				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3303	1994	PAIN			The sensation of discomfort, distress, or agony, resulting from the stimulation of specialized nerve endings.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50685	2468	PALLOR			An unusual or extreme paleness, state of decreased skin coloration.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C37999	2467	PALPITATIONS			An unpleasant sensation of irregular and/or forceful beating of the heart.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50686	1447	PANNUS FORMATION	FORMATION, PANNUS	Superficial vascularization of the cornea with infiltration of granulation tissue; an inflammatory exudate overlying the lining layer of synovial cells on the inside of a joint.	Superficial vascularization of the cornea with infiltration of granulation tissue; an inflammatory exudate overlying the lining layer of synovial cells on the inside of a joint.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3310	1997	PARALYSIS				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50687	2448	PARAPLEGIA		Paralysis of the legs and lower part of the body.	Complete paralysis of the lower half of the body including both legs, often caused by damage to the spinal cord.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50688	1998	PARESIS		A slight or incomplete paralysis.	A slight or incomplete paralysis.	C3310	1997	PARALYSIS
FDA	C54450	Patient Problem Codes FDA CDRH	C50847	2064	SEIZURES, FOCAL MOTOR	FOCAL MOTOR SEIZURES	A simple partial seizure consisting of clonus or spasm of a muscle or muscle group; it may be single or in a continuous and repetitive series or may spread to adjacent muscles.	A simple partial seizure consisting of clonus or spasm of a muscle or muscle group; it may be single or in a continuous and repetitive series or may spread to adjacent muscles.	C50689	2260	SEIZURES, FOCAL
FDA	C54450	Patient Problem Codes FDA CDRH	C50689	2260	SEIZURES, FOCAL	FOCAL SEIZURES	Partial seizure.	A transitory alteration in movement, sensation or autonomic nerve function due to abnormal electric activity in a localized area of the cerebral cortex, usually without change in awareness or alertness. Symptoms vary with different lesion locations and may include but not limited to the motor (e.g. rhythmic muscle contractions in one area of the body), somatosensory and sensory alterations manifested by abnormal numbness, paresthesias or other hallucinations, including several types of aura; autonomic and psychic symptoms, e.g. with changes in speech, thought, personality, mood, sensation of deja vu or hallucinations.	C2962	2063	SEIZURES
FDA	C54450	Patient Problem Codes FDA CDRH	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM	PATIENT PROBLEM CODE|PATIENT PROBLEM			C62596		FDA CDRH TERMINOLOGY
FDA	C54450	Patient Problem Codes FDA CDRH	C50691	1999	PEELING		A peeling off or loss of epidermis, as in sunburn, postscarlatinal peeling, or toxic epidermal necrolysis.	A peeling off or loss of epidermis, as in sunburn, postscarlatinal peeling, or toxic epidermal necrolysis.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3889	2000	PELVIC INFLAMMATORY DISEASE	DISEASE (PID), PELVIC INFLAMMATORY|INFLAMMATORY DISEASE (PID), PELVIC|PELVIC INFLAMMATORY DISEASE, (PID)|PID, PELVIC INFLAMMATORY DISEASE	Any pelvic infection involving the upper female genital tract beyond the cervix.	Pelvic inflammatory disease (PID) is an acute or chronic inflammation in the pelvic cavity. It is most commonly caused by sexually transmitted diseases, including chlamydia and gonorrhea that have ascended into the uterus, fallopian tubes, or ovaries as a result of intercourse or childbirth, or of surgical procedures, including insertion of IUDs or abortion. PID may be either symptomatic or asymptomatic. It may cause infertility and it may raise the risk of ectopic pregnancy. PID is a disease associated with HIV infection.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C4080	2001	PERFORATION			A hole or opening made through a membrane or other tissue or material.	C3671	2348	INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C50692	1792	CORNEA, PERFORATION OF	PERFORATION OF CORNEA			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C73501	1852	PERINATAL BRAIN INJURY		Injury occurring as a result of the delivery process.	Injury occurring as a result of the delivery process.	C50440	2219	BRAIN INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C35136	2002	PERIPHERAL VASCULAR DISEASE	DISEASE, PERIPHERAL VASCULAR|VASCULAR DISEASE, PERIPHERAL		Any disorder affecting blood flow through the veins or arteries outside of the heart.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50695	2003	PERITONEAL LACERATION(S)	LACERATION(S), PERITONEAL			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26849	2252	PERITONITIS				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C27061	2362	PERONEAL NERVE PALSY	NERVE PALSY, PERONEAL|PALSY, PERONEAL NERVE	Paralysis of the nerves located in the legs.	Paralysis of the nerves located in the legs.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50436	2261	SEIZURES, ABSENCE	PETIT-MAL SEIZURES|SEIZURES, PETIT-MAL	Generalized seizure that manifests in a form of a brief episode of impairment of consciousness with or without accompanying motor phenomena such as clonic-tonic components, automatisms, or autonomic components.	Generalized seizure that manifests in a form of a brief episode of impairment of consciousness with or without accompanying motor phenomena such as clonic-tonic components, automatisms, or autonomic components.	C2962	2063	SEIZURES
FDA	C54450	Patient Problem Codes FDA CDRH	C26851	2367	PHARYNGITIS			Inflammation of the throat most often caused by viral and bacterial infections. Other causes include allergens, chemical substances, and trauma.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C15191	1719	APHERESIS				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C38003	2004	PHLEBITIS			Inflammation of a vein.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C28221	2129	VENIPUNCTURE			Technique used to draw blood from a vein for diagnostic purposes or for treatment of certain blood disorders. (From MSH 2002)	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50697	2164	PHOSPHENE VISUALIZATION	VISUALIZATION, PHOSPHENE	An objective visual sensation that appears with the eyes closed and in the absence of visual light.	An objective visual sensation that appears with the eyes closed and in the absence of visual light.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50698	2165	PHOTOTOXICITY		A nonimmunologic, chemically induced type of photosensitivity.	A nonimmunologic, chemically induced type of photosensitivity.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50548	2327	PHYSICAL ENTRAPMENT		Patient becomes entangled or caught in a bed, particularly in side rails, or mattress, or head/foot boards.		C3671	2348	INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C17000	2009	PLEOMORPHISM			Having different forms at different stages of the life cycle.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3331	2010	PLEURAL EFFUSION	EFFUSION, PLEURAL		Increased amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough, and chest pain. It is usually caused by lung infections, congestive heart failure, pleural and lung tumors, connective tissue disorders, and trauma.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3333	2011	PNEUMONIA			An acute, acute and chronic, or chronic inflammation focally or diffusely affecting the lung parenchyma, due to infections (viruses, fungi, mycoplasma, or bacteria), treatment (e.g. radiation), or exposure (inhalation) to chemicals. Symptoms include cough, shortness of breath, fevers, chills, chest pain, headache, sweating, and weakness.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C38006	2012	PNEUMOTHORAX			Abnormal presence of air in the pleural cavity resulting in the collapse of the lung.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50699	2013	POCKET EROSION	EROSION, POCKET	Erosion of patient's skin pocket which houses a device.	Erosion of patient's skin pocket which houses a device.	C50443	1750	EROSION
FDA	C54450	Patient Problem Codes FDA CDRH	C50700	2604	POLYDIPSIA		Chronic excessive intake of water; it may be from an organic cause, such as the dehydration of diabetes mellitus, diabetes insipidus, or a reaction to medication, or from a psychological cause. When untreated it can lead to water intoxication.	Chronic excessive intake of water; it may be from an organic cause, such as the dehydration of diabetes mellitus, diabetes insipidus, or a reaction to medication, or from a psychological cause. When untreated it can lead to water intoxication.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26925	1992	POLYMYOSITIS			An idiopathic inflammatory disorder affecting the muscles. It presents with symmetrical proximal muscle weakness and elevated skeletal muscle enzymes.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50701	2015	POSITIVE ANTINUCLEAR ANTIBODIES (ANA)	ANA, POSITIVE ANTINUCLEAR ANTIBODIES|ANTIBODIES (ANA), POSITIVE ANTINUCLEAR|ANTINUCLEAR ANTIBODIES (ANA), POSITIVE	Antibodies directed against nuclear antigens; almost invariably found in systemic lupus erythematosus and are frequently found in rheumatoid arthritis, scleroderma, Sjogren's Syndrome and mixed connective tissue disease.	Indicates that antibodies directed against nuclear antigens have been detected.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50702	2639	CAPSULAR BAG TEAR, POSTERIOR				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50703	2266	SHOCK, POSTOPERATIVE	POSTOPERATIVE SHOCK	A state of shock following a surgical operation.	A state of shock following a surgical operation.	C35019	2267	SHOCK, SURGICAL
FDA	C54450	Patient Problem Codes FDA CDRH	C50704	2446	WOUND INFECTION, POST-OPERATIVE	INFECTION, POST-OPERATIVE WOUND|POST-OPERATIVE WOUND INFECTION			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50705	2447	WOUND INFECTION, POST-TRAUMATIC	INFECTION, POST-TRAUMATIC WOUND|POST-TRAUMATIC WOUND INFECTION			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C25742	3193	PREGNANCY		The state or condition of having a developing embryo or fetus in the body (uterus), after union of an ovum and spermatozoon, during the period from conception to birth.	The state or condition of having a developing embryo or fetus in the body (uterus), after union of an ovum and spermatozoon, during the period from conception to birth.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50917	2465	LABOR, PREMATURE	PREMATURE LABOR	Ouster of a viable infant before the normal end of gestation, commonly defined as interruption of pregnancy between the twentieth-thirty seventh completed weeks after the onset of the last menstrual cycle.	Ouster of a viable infant before the normal end of gestation, commonly defined as interruption of pregnancy between the twentieth-thirty seventh completed weeks after the onset of the last menstrual cycle.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50706	2326	PRESSURE SORES/ULCERS	NECROSIS, PRESSURE|PRESSURE, NECROSIS|SORES/ULCERS, PRESSURE|ULCERS/SORES, PRESSURE	Death of tissue due to external pressure.	Death of tissue due to external pressure.	C3426	2274	ULCER
FDA	C54450	Patient Problem Codes FDA CDRH	C36173	2475	PROLAPSE				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50707	2655	DISC IMPINGEMENT				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3344	1943	ITCHING			An intense itching sensation.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50711	2605	PSEUDOANEURYSM				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C27298	2620	PTOSIS				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50712	2019	PULMONARY DYSFUNCTION	DYSFUNCTION, PULMONARY			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26868	2020	PULMONARY EDEMA	EDEMA, PULMONARY		Accumulation of fluid in the lung tissues causing disturbance of the gas exchange that may lead to respiratory failure. It is caused by direct injury to the lung parenchyma or congestive heart failure. The symptoms may appear suddenly or gradually. Suddenly appearing symptoms include difficulty breathing, feeling of suffocation, and coughing associated with frothy sputum. Gradually appearing symptoms include difficulty breathing while lying in bed, shortness of breath during activity, and weight gain (in patients with congestive heart failure).	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50713	1498	PULMONARY EMBOLISM	EMBOLISM, PULMONARY	The closure of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung.	The closure of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung.	C26759	1829	EMBOLISM
FDA	C54450	Patient Problem Codes FDA CDRH	C3348	1832	EMPHYSEMA, PULMONARY	PULMONARY EMPHYSEMA	A condition of the lung characterized by increase beyond normal in the size of air spaces distal to the terminal bronchioles, either from dilatation of the alveoli or from destruction of their walls.	A subcategory of chronic obstructive pulmonary disease (COPD). It occurs in people who smoke and suffer from chronic bronchitis. It is characterized by inflation of the alveoli, alveolar wall damage, and reduction in the number of alveoli, resulting in difficulty breathing.	C3199	2237	CHRONIC OBSTRUCTIVE PULMONARY DISEASE, (COPD)
FDA	C54450	Patient Problem Codes FDA CDRH	C50714	2021	PULMONARY INFARCTION	INFARCTION, PULMONARY	Localized necrosis of lung tissue caused by obstruction of the arterial blood supply, most often due to pulmonary embolism.	Localized necrosis of lung tissue caused by obstruction of the arterial blood supply, most often due to pulmonary embolism.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C51447	2022	PULMONARY INSUFFICIENCY	INSUFFICIENCY, PULMONARY			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50715	2024	PULMONARY STENOSIS	STENOSIS, PULMONARY	Narrowing of the opening between the pulmonary artery and the right ventricle, usually at the level of the valve leaflets.	Narrowing of the opening between the pulmonary artery and the right ventricle, usually at the level of the valve leaflets.	C62433	2697	VALVULAR STENOSIS
FDA	C54450	Patient Problem Codes FDA CDRH	C50848	2023	PULMONARY REGURGITATION	REGURGITATION, PULMONARY	The backflow of blood from the pulmonary artery into the right ventricle, owing to insufficiency of the pulmonic semilunar valve.	The backflow of blood from the pulmonary artery into the right ventricle, owing to insufficiency of the pulmonic semilunar valve.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50716	2026	PUPILLARY BLOCK	BLOCK, PUPILLARY	An obstruction of the pupil.	An obstruction of the pupil.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50717	1812	PURULENT DISCHARGE	DISCHARGE, PURULENT	Consisting of or containing pus; associated with the formation of or caused by pus.	Consisting of or containing pus; associated with the formation of or caused by pus.	C34548	2686	FLUID DISCHARGE
FDA	C54450	Patient Problem Codes FDA CDRH	C50719	2246	INFECTION, PYROGENIC	PYROGENIC INFECTION	An infection caused by pus-producing organisms.	An infection caused by pus-producing organisms.	C26726	1930	INFECTION
FDA	C54450	Patient Problem Codes FDA CDRH	C50721	2449	QUADRIPLEGIA		Paralysis of all four limbs.	Paralysis of all four limbs.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C61395	3163	R ON T PHENOMENON		The occurrence of a premature ventricular complex near the peak of the T wave in electrocardiography; it may lead to ventricular tachycardia or fibrillation.	An electrocardiographic finding phenomena in which the R wave occurs on top of the T wave; this can trigger ventricular fibrillation or ventricular tachycardia.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50722	1755	RADIATION BURN	BURN, RADIATION	A burn caused by exposure to x-ray, radium, sunlight, atomic or any other type of radiant energy.	A burn caused by exposure to x-ray, radium, sunlight, atomic or any other type of radiant energy.	C34441	1757	BURN(S)
FDA	C54450	Patient Problem Codes FDA CDRH	C50862	1510	RADIATION OVERDOSE	OVERDOSE OF RADIATION			C50873	1988	OVERDOSE
FDA	C54450	Patient Problem Codes FDA CDRH	C50723	2256	RADIATION SICKNESS SYNDROME	SICKNESS SYNDROME, RADIATION|SYNDROME, RADIATION SICKNESS	Radiation induced skin desquamation	The complex of symptoms characterizing the disease known as radiation injury, resulting from excessive exposure (greater than 200 rads or 2 gray) of the whole body (or large part) to ionizing radiation. The earliest of these symptoms are nausea, fatigue, vomiting, and diarrhea, which may be followed by epilation, hemorrhage, inflammation of the mouth and throat, and general loss of energy. In severe cases, where the radiation exposure has been approximately 1000 Rad (10 gray) or more, death may occur within two to four weeks. Those who survive six weeks after the receipt of a single large dose of radiation to the whole body may generally be expected to recover. (U.S. Nuclear Regulatory Commission).	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C52354	2166	RADIATION UNDERDOSE	UNDERDOSE, RADIATION			C50428	2542	UNDERDOSE
FDA	C54450	Patient Problem Codes FDA CDRH	C3349	2255	RADIODERMATITIS		A cutaneous inflammatory reaction occurring as a result of exposure to biologically effective levels of ionizing radiation.	A cutaneous inflammatory reaction occurring as a result of exposure to biologically effective levels of ionizing radiation.	C2983	2443	SKIN INFLAMMATION
FDA	C54450	Patient Problem Codes FDA CDRH	C50724	2034	RAYNAUDS PHENOMENON	PHENOMENON, RAYNAUDS	Intermittent bilateral attacks of ischemia of the fingers or toes and sometimes of the ears or nose, marked by severe pallor, and often accompanied by paresthesia and pain.	A set of symptoms characteristic of peripheral vascular disease, namely caused by an inappropriate response of the peripheral arteries in reaction to environmental stimuli, usually to the cold. The term is used when an underlying disease (mostly connective tissue/autoimmune disorders such as lupus, scleroderma, rheumatoid arthritis, etc.) is primarily causative and a range of symptoms including the peripheral vascular spasm is secondary. The term does not refer to the primary Raynaud's or Raynaud's disease.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C25637	2414	REACTION			A response generated by a stimulus.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C51222	1713	ANTIBIOTICS, REACTION TO				C25637	2414	REACTION
FDA	C54450	Patient Problem Codes FDA CDRH	C50725	2038	RED EYE(S)	EYE(S), RED	Lay term applied to any condition with dilation of conjunctival or ciliary blood vessels; innumerable causes, especially irritation and infection.	Lay term applied to any condition with dilation of conjunctival or ciliary blood vessels; innumerable causes, especially irritation and infection.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50726	2259	REGURGITATION		Flow in the opposite direction from normal, as the casting up of undigested food or gas from the stomach, or the backward flowing of blood into the heart, or between the chambers of the heart when a valve is incompetent.	Flow in the opposite direction from normal, as the casting up of undigested food or gas from the stomach, or the backward flowing of blood into the heart, or between the chambers of the heart when a valve is incompetent.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50820	2403	REINFUSION			The infusion of autogenic body fluid that has previously been withdrawn from the patient.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C4376	2041	RENAL FAILURE	FAILURE, RENAL		Acute or chronic condition, characterized by the inability of the kidneys to adequately filter the blood substances, resulting in uremia and electrolyte imbalances. Acute renal failure is usually associated with oliguria or anuria, hyperkalemia, and pulmonary edema. Chronic renal failure is irreversible and requires hemodialysis.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50727	1985	REOCCLUSION				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50728	2482	RESPIRATORY ACIDOSIS	ACIDOSIS, RESPIRATORY	A state due to excess retention of carbon dioxide in the body.	Acid base imbalance resulting from an accumulation of carbon dioxide secondary to hypoventilation.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50729	2483	RESPIRATORY ALKALOSIS		A pathologic condition resulting from accumulation of base, or from loss of acid without comparable loss of base in the body fluids, and characterized by decrease in hydrogen ion concentration.	Condition characterized by excessive loss of carbon dioxide from the body, often as a result of hyperventilation due to psychogenic or physical factors.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C27165	2045	RESPIRATORY DISTRESS	DISTRESS, RESPIRATORY		A pathological increase in the effort and frequency of breathing movements.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26872	2484	RESPIRATORY FAILURE	FAILURE, RESPIRATORY		Impaired gas exchange by the respiratory system resulting in hypoxemia and decreased oxygenation of the tissues that may be associated with increased arterial levels of carbon dioxide. Causes include chronic obstructive pulmonary disease, asthma, emphysema, acute respiratory distress syndrome, pneumonia, pulmonary edema, pneumothorax, and congestive heart failure.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50731	2048	RETINA, DAMAGE TO	DAMAGE TO RETINA			C34602	1845	EYE INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C34979	2049	RETINA, DEGENERATION OF	DEGENERATION OF RETINA			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26874	2047	DETACHED RETINA	RETINA, DETACHED		An eye emergency condition which may lead to blindness if left untreated. It is characterized by the separation of the inner retina layers from the underlying pigment epithelium. Causes include trauma, advanced diabetes mellitus, high myopia, and choroid tumors. Symptoms include sudden appearance of floaters, sudden light flushes, and blurred vision.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50732	2050	RETINA, TEAR(S) IN			A usually small tearing of the retina occurring when the vitreous separates from the retina. It may lead to retinal detachment. Symptoms include flashes and floaters.	C50731	2048	RETINA, DAMAGE TO
FDA	C54450	Patient Problem Codes FDA CDRH	C34882	2053	RHEUMATIC HEART DISEASE	DISEASE, RHEUMATIC HEART|HEART DISEASE, RHEUMATIC			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2884	1724	ARTHRITIS, RHEUMATOID	RHEUMATOID ARTHRITIS		A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.	C2883	1723	ARTHRITIS
FDA	C54450	Patient Problem Codes FDA CDRH	C50733	2054	RIGHT VENTRICULAR DYSFUNCTION	DYSFUNCTION, RIGHT VENTRICULAR		Impairment of the right ventricular function associated with low ejection fraction and decreased motility of the right ventricular wall.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50846	2055	RIGHT VENTRICULAR FAILURE	FAILURE, RIGHT VENTRICULAR|VENTRICULAR FAILURE, RIGHT	Failure of proper functioning of the right ventricle, with venous engorgement, hepatic enlargement, and subcutaneous edema.	Failure of proper functioning of the right ventricle, with venous engorgement, hepatic enlargement, and subcutaneous edema.	C50733	2054	RIGHT VENTRICULAR DYSFUNCTION
